Period,AMR,LngLat,T35,P35,T68max,P68,T911,T122min,Age Group
2002-2009,2.685714286,"58.4057° N, 26.8016° E",11.6015625,109.5757828,23.875,233.6625061,12.24609375,-8.328125,adult
2005-2010,19.6,"56.23° N, 23.88° E",11.96354198,112.046875,24.16666603,234.6833344,13.421875,-6.614583492,young
2000-2011,1.527272727,"55.1694° N, 23.8813° E",12.36458302,114.3526077,24,234.75,13.10677052,-6.057291508,young
2005-2020,3.778566,"56.8796° N, 24.6032° E",12.13476563,121.0324249,23,235.0070343,13.1328125,-6.4375,adult
1999-2015,4.9375,"49.9248° N, 14.0474° E",13.79044151,144.71875,25.23529434,235.6889648,13.92463207,-3.544117689,young
2013-2015,8.167770419,"48.5892° N, 7.9675° E",14.14583302,199.5770874,27.33333397,239.2333374,15.5,-0.458333343,young
2008-2010,16.26794258,"59.661° N, 17.91198° E",11.34375,89.77500153,24,240.0666656,11.70833302,-6.125,young
2012-2015,10.66666667,"48.6616° N, 9.3501° E",12.6015625,174.5390625,26.25,240.8999939,13.703125,-4.0625,young
2010-2014,2.166667,"50.2612° N, 10.9627° E",12.89999962,149.4250031,25,240.9199982,13.80624962,-3.799999952,adult
2010-2019,7.703475,"55.27532° N, 9.48144° E",11.42812538,137.1287537,21.60000038,241.5399933,13.77499962,-1.918750048,young
2006-2021,2.521107,"55.9082° N, 13.2624° E",11.6640625,141.0097656,21.9140625,242.3007813,13.50195313,-1.98046875,young
2006-2013,4.142857143,"58.6928 ° N, 25.2826 ° E",11.7734375,115.6624985,24.5,243.2624969,12.5234375,-9.890625,adult
2005-2010,18,"55.9° N, 23.5944° E",11.890625,117.6729126,23.83333397,243.5833282,13.19791698,-6.510416508,young
2010-2019,1.869351,"55.00936° N, 9.93388° E",11.66666698,134.5266724,21.29999924,244.1000061,14.60000038,-0.800000012,adult
2009-2013,10.26333,"58.25° N, 27.4° E",12.60000038,116.5687485,24.39999962,246.1399994,12.60000038,-10.77499962,adult
2009-2013,13.01304,"58.25° N, 27.4° E",12.60000038,116.5687485,24.39999962,246.1399994,12.60000038,-10.77499962,adult
2015-2015,4,"54.7877° N, 6.4923° W",9.6875,284.75,18,246.3999939,12.65625,1.75,young
2011-2016,7.8,"55.95° N, 13.2° E",11.90625,134.1885376,21.33333397,248.4833374,13.61979198,-2.177083254,young
2010-2014,3.885714286,"60.4720° N, 8.4689° E",4.943749905,119.3887482,17.79999924,248.7400055,6.537499905,-12.39999962,adult
2010-2014,2.490196,"48.8508° N, 10.4895° E",12.65625,147.3525085,25,249.1799927,13.82499981,-4.287499905,adult
2010-2014,3.764706,"48.8508° N, 10.4895° E",12.65625,147.3525085,25,249.1799927,13.82499981,-4.287499905,adult
2009-2015,0,"48.183333° N, 16.2 ° E",14.66071415,156.8401794,25.7142849,249.7142792,15.4375,-2.544642925,adult
2009-2015,0.751521149,"48.183333° N, 16.2 ° E",14.66071415,156.8401794,25.7142849,249.7142792,15.4375,-2.544642925,adult
2007-2009,17,"58.25° N, 27.4° E",12.01041698,107.2145844,22.33333397,254.8666687,11.82291698,-8.145833015,adult
2009-2012,7,"49.3740° N, 7.0506° E",13.2890625,171.7562561,23.75,256.25,13.8125,-2.640625,young
2008-2010,5.769230769,"59.81488° N, 17.65821° E",10.79166698,92.40833282,23.66666603,257.0666809,11.32291698,-6.583333492,young
2012-2016,4.4,"46.0748° N, 11.1217° E",13.67500019,177.8462524,29,257.0800171,16.02499962,-2.950000048,young
1999-2015,4.625,"49.283° N, 17.457° E",14.25,143.4852905,26.09926414,259.2510986,14.43014717,-3.882352829,young
2009-2012,3,"51.0538° N, 12.3546° E",14.015625,128.375,24.75,259.4500122,15.4453125,-3.5,young
